Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,Train_AverageReturn,Train_StdReturn,Train_MaxReturn,Train_MinReturn,Train_AverageEpLen,Actor Loss,Train_EnvstepsSoFar,TimeSinceStart,Initial_DataCollection_AverageReturn,step
19.095238,8.885005,48.0,11.0,19.095238095238095,23.5,12.170195,54.0,10.0,23.5,20.579761505126953,1034,0.13690805435180664,23.5,0
23.777779,12.864921,58.0,11.0,23.77777777777778,23.11111,11.539733,62.0,10.0,23.11111111111111,19.59490394592285,2074,0.5283682346343994,,1
47.2,34.695244,119.0,11.0,47.2,25.725,14.392685,68.0,10.0,25.725,22.549198150634766,3103,0.636315107345581,,2
43.1,18.080101,70.0,19.0,43.1,34.266666,22.478039,114.0,12.0,34.266666666666666,32.19715881347656,4131,0.7417609691619873,,3
41.6,21.2,82.0,11.0,41.6,55.526318,25.730114,98.0,16.0,55.526315789473685,42.389251708984375,5186,0.8465070724487305,,4
51.625,29.811647,115.0,14.0,51.625,42.291668,21.892693,106.0,13.0,42.291666666666664,33.3452033996582,6201,0.9482412338256836,,5
54.375,21.324501,79.0,23.0,54.375,50.5,29.258331,121.0,15.0,50.5,41.67953872680664,7211,1.051340103149414,,6
56.5,22.71013,88.0,30.0,56.5,56.444443,24.754848,125.0,19.0,56.44444444444444,41.26856231689453,8227,1.1552181243896484,,7
72.166664,19.16087,110.0,53.0,72.16666666666667,60.52941,21.268915,96.0,25.0,60.529411764705884,40.74382019042969,9256,1.260941982269287,,8
73.333336,20.303255,103.0,47.0,73.33333333333333,58.88889,21.486141,102.0,22.0,58.888888888888886,38.93012237548828,10316,1.368617057800293,,9
64.71429,24.122984,111.0,42.0,64.71428571428571,59.166668,18.475962,104.0,35.0,59.166666666666664,37.69036865234375,11381,1.4771161079406738,,10
50.75,14.139926,76.0,31.0,50.75,58.72222,26.042284,132.0,24.0,58.72222222222222,40.100006103515625,12438,1.582341194152832,,11
57.714287,25.594164,118.0,35.0,57.714285714285715,56.77778,21.19632,121.0,23.0,56.77777777777778,35.69297409057617,13460,1.7003321647644043,,12
66.666664,17.123734,90.0,40.0,66.66666666666667,71.57143,21.862278,118.0,33.0,71.57142857142857,42.433265686035156,14462,1.8015449047088623,,13
87.4,20.045948,114.0,63.0,87.4,72.0,36.061455,148.0,34.0,72.0,48.400142669677734,15470,1.9052550792694092,,14
84.6,32.172035,140.0,48.0,84.6,79.0,33.14686,158.0,37.0,79.0,50.24573516845703,16576,2.0140280723571777,,15
68.0,22.290293,110.0,47.0,68.0,80.84615,26.21757,133.0,49.0,80.84615384615384,49.33883285522461,17627,2.1225101947784424,,16
77.71429,37.01241,162.0,44.0,77.71428571428571,73.0,20.92845,116.0,39.0,73.0,40.34874725341797,18649,2.234628200531006,,17
88.6,21.795412,127.0,60.0,88.6,72.21429,24.290442,128.0,35.0,72.21428571428571,40.75572967529297,19660,2.3385252952575684,,18
80.2,14.288457,103.0,61.0,80.2,93.63636,32.435314,158.0,61.0,93.63636363636364,52.94749069213867,20690,2.4403109550476074,,19
67.0,13.940349,91.0,45.0,67.0,81.0,18.07676,112.0,48.0,81.0,44.5260009765625,21743,2.5431320667266846,,20
90.2,47.608402,182.0,52.0,90.2,73.71429,25.064,107.0,32.0,73.71428571428571,41.62018585205078,22775,2.646583080291748,,21
105.2,34.66641,151.0,57.0,105.2,78.38461,34.770763,135.0,42.0,78.38461538461539,48.26492691040039,23794,2.755669116973877,,22
106.0,37.33095,149.0,44.0,106.0,100.8,27.870415,155.0,67.0,100.8,54.33241653442383,24802,2.8647122383117676,,23
91.2,9.682975,103.0,74.0,91.2,97.0,25.283842,146.0,56.0,97.0,52.107765197753906,25869,2.9730570316314697,,24
72.666664,38.955814,156.0,33.0,72.66666666666667,84.833336,24.845634,150.0,58.0,84.83333333333333,45.375144958496094,26887,3.0760700702667236,,25
80.0,20.129581,116.0,54.0,80.0,109.8,31.530304,163.0,71.0,109.8,59.30171203613281,27985,3.1813430786132812,,26
131.25,42.49338,200.0,94.0,131.25,101.09091,32.92541,165.0,43.0,101.0909090909091,56.29840850830078,29097,3.296436071395874,,27
98.2,31.198717,135.0,53.0,98.2,103.545456,46.951355,200.0,58.0,103.54545454545455,63.45003890991211,30236,3.4117259979248047,,28
70.333336,13.437097,92.0,55.0,70.33333333333333,89.833336,29.114239,144.0,56.0,89.83333333333333,50.273887634277344,31314,3.5186960697174072,,29
140.33333,19.067133,161.0,115.0,140.33333333333334,114.333336,36.58476,177.0,56.0,114.33333333333333,63.12533187866211,32343,3.6220920085906982,,30
136.0,8.83176,148.0,127.0,136.0,131.75,33.980694,200.0,91.0,131.75,68.5565414428711,33397,3.726203203201294,,31
185.33333,20.7418,200.0,156.0,185.33333333333334,148.75,51.24878,200.0,69.0,148.75,83.8015365600586,34587,3.849246025085449,,32
151.0,21.213203,181.0,136.0,151.0,139.75,27.949732,200.0,108.0,139.75,72.88335418701172,35705,3.9590020179748535,,33
185.0,10.614455,200.0,177.0,185.0,149.57143,34.26309,200.0,110.0,149.57142857142858,77.71356964111328,36752,4.073385000228882,,34
129.25,29.020468,173.0,93.0,129.25,123.333336,50.376366,200.0,61.0,123.33333333333333,68.72238159179688,37862,4.187494277954102,,35
123.0,41.68333,166.0,65.0,123.0,116.888885,26.125528,177.0,85.0,116.88888888888889,59.74570846557617,38914,4.296455144882202,,36
83.6,25.128471,116.0,54.0,83.6,128.5,36.482872,179.0,67.0,128.5,67.69810485839844,39942,4.399335145950317,,37
118.25,50.295998,200.0,73.0,118.25,84.583336,19.332436,121.0,44.0,84.58333333333333,41.51739501953125,40957,4.505303144454956,,38
89.6,30.335459,134.0,60.0,89.6,85.25,15.050609,121.0,66.0,85.25,39.08507537841797,41980,4.608014106750488,,39
73.833336,34.55149,141.0,30.0,73.83333333333333,83.583336,22.943623,119.0,51.0,83.58333333333333,40.25720977783203,42983,4.721962928771973,,40
84.0,14.845875,109.0,64.0,84.0,89.333336,20.30736,122.0,47.0,89.33333333333333,41.32401657104492,44055,4.824129104614258,,41
128.75,35.716766,160.0,68.0,128.75,76.85714,19.371767,103.0,46.0,76.85714285714286,36.899505615234375,45131,4.934952974319458,,42
82.0,18.363007,99.0,48.0,82.0,85.23077,24.15703,149.0,62.0,85.23076923076923,39.717124938964844,46239,5.03972601890564,,43
89.0,14.859341,114.0,75.0,89.0,102.181816,33.49306,151.0,50.0,102.18181818181819,47.8553352355957,47363,5.14915919303894,,44
102.25,26.089989,143.0,78.0,102.25,72.71429,20.313362,139.0,52.0,72.71428571428571,33.1343994140625,48381,5.248967170715332,,45
93.6,47.263515,179.0,50.0,93.6,69.13333,18.739857,106.0,44.0,69.13333333333334,32.58586502075195,49418,5.353224277496338,,46
73.14286,21.682308,117.0,37.0,73.14285714285714,86.166664,30.278797,153.0,54.0,86.16666666666667,37.975868225097656,50452,5.4614551067352295,,47
87.0,18.15489,116.0,64.0,87.0,67.86667,21.200209,128.0,45.0,67.86666666666666,29.70686149597168,51470,5.56223201751709,,48
93.4,22.032703,117.0,64.0,93.4,95.454544,30.62193,161.0,56.0,95.45454545454545,42.31833267211914,52520,5.6678760051727295,,49
100.5,58.21297,200.0,56.0,100.5,101.7,42.159344,200.0,64.0,101.7,46.593196868896484,53537,5.7681379318237305,,50
149.75,50.251244,200.0,99.0,149.75,117.0,29.196651,158.0,68.0,117.0,49.980255126953125,54590,5.88524317741394,,51
138.0,31.968735,179.0,101.0,138.0,101.1,19.705076,128.0,75.0,101.1,42.71242904663086,55601,5.986093044281006,,52
136.0,46.137478,200.0,93.0,136.0,120.666664,30.868898,160.0,72.0,120.66666666666667,49.271095275878906,56687,6.091778039932251,,53
130.5,22.896505,159.0,99.0,130.5,136.25,39.85207,200.0,92.0,136.25,54.024662017822266,57777,6.204391956329346,,54
155.66667,35.159954,200.0,114.0,155.66666666666666,123.888885,32.800556,200.0,84.0,123.88888888888889,48.31771469116211,58892,6.3146092891693115,,55
148.25,30.800772,200.0,123.0,148.25,130.25,43.31498,194.0,90.0,130.25,58.84902572631836,59934,6.4286699295043945,,56
110.0,32.15587,164.0,82.0,110.0,129.0,35.39774,200.0,80.0,129.0,54.044090270996094,60966,6.531990051269531,,57
180.66667,17.820087,200.0,157.0,180.66666666666666,126.375,25.079561,165.0,87.0,126.375,49.137550354003906,61977,6.639987945556641,,58
139.33333,43.17664,200.0,103.0,139.33333333333334,155.71428,40.756123,200.0,83.0,155.71428571428572,61.30857849121094,63067,6.745450019836426,,59
120.75,15.006248,142.0,103.0,120.75,142.0,12.083046,160.0,122.0,142.0,54.62242126464844,64203,6.857661962509155,,60
172.66667,38.65517,200.0,118.0,172.66666666666666,167.33333,34.4706,200.0,113.0,167.33333333333334,67.5617904663086,65207,6.963937997817993,,61
166.33333,20.171488,189.0,140.0,166.33333333333334,172.0,26.197964,200.0,127.0,172.0,68.50078582763672,66239,7.070666074752808,,62
157.66667,19.68643,183.0,135.0,157.66666666666666,158.71428,36.954468,200.0,107.0,158.71428571428572,70.5939712524414,67350,7.1805031299591064,,63
151.33333,34.75949,200.0,121.0,151.33333333333334,148.28572,34.668694,200.0,106.0,148.28571428571428,62.43195724487305,68388,7.284221172332764,,64
159.33333,28.940554,200.0,135.0,159.33333333333334,177.83333,19.488602,200.0,147.0,177.83333333333334,70.56700897216797,69455,7.391537189483643,,65
166.33333,11.556624,175.0,150.0,166.33333333333334,165.57143,16.273178,190.0,139.0,165.57142857142858,73.0330810546875,70614,7.505835056304932,,66
195.0,7.071068,200.0,185.0,195.0,162.85715,21.36371,200.0,139.0,162.85714285714286,69.50065612792969,71754,7.624763250350952,,67
200.0,0.0,200.0,200.0,200.0,193.0,14.776107,200.0,160.0,193.0,83.76394653320312,72912,7.732908010482788,,68
200.0,0.0,200.0,200.0,200.0,193.66667,14.161764,200.0,162.0,193.66666666666666,84.14756774902344,74074,7.8577961921691895,,69
