Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,Train_AverageReturn,Train_StdReturn,Train_MaxReturn,Train_MinReturn,Train_AverageEpLen,Actor Loss,Baseline Loss,Train_EnvstepsSoFar,TimeSinceStart,Initial_DataCollection_AverageReturn,step
-731.0718,22.130268,-708.6248,-761.1824,1000.0,-623.888,38.915333,-582.6839,-686.4719,1000.0,-0.07634325325489044,160.83016967773438,5000,0.5838069915771484,-623.888,0
-817.89667,37.273685,-780.1056,-868.61774,1000.0,-727.6107,49.710617,-667.59015,-818.4844,1000.0,-0.10916141420602798,95.43603515625,10000,12.003221035003662,,1
-787.4152,40.36313,-752.744,-844.0217,1000.0,-788.50323,27.687586,-743.0054,-824.7047,1000.0,-0.08520595729351044,74.69715118408203,15000,12.589056015014648,,2
-746.1652,78.271416,-654.5244,-845.7545,1000.0,-839.6963,79.2048,-703.0614,-915.2239,1000.0,-0.02902146615087986,194.60707092285156,20000,13.13256287574768,,3
-844.3818,83.931404,-782.86615,-963.052,1000.0,-765.81055,65.86381,-687.32544,-859.89026,1000.0,-0.13359299302101135,32.51877975463867,25000,13.669001817703247,,4
-735.29095,29.71749,-699.70544,-772.44727,1000.0,-799.73114,75.72399,-722.0548,-943.38586,1000.0,-0.10009782016277313,40.07160949707031,30000,14.201167821884155,,5
-721.72723,67.5705,-627.32056,-781.7442,1000.0,-693.61163,92.080124,-563.2468,-792.8546,1000.0,-0.08696030080318451,46.854530334472656,35000,14.7377347946167,,6
-639.96936,29.249702,-617.9846,-681.30676,1000.0,-680.0911,74.933266,-545.3754,-739.44507,1000.0,-0.126467764377594,37.693477630615234,40000,15.278775930404663,,7
-603.01086,12.310015,-585.7576,-613.6497,1000.0,-629.1825,90.17938,-462.9817,-715.6776,1000.0,-0.09839707612991333,31.486574172973633,45000,15.81669282913208,,8
-609.2316,32.405262,-573.62054,-652.01794,1000.0,-616.89905,51.639908,-548.5707,-690.53424,1000.0,-0.10366037487983704,33.54939270019531,50000,16.35392999649048,,9
-548.0214,7.39723,-538.28516,-556.2035,1000.0,-592.25226,76.40926,-476.87082,-709.5416,1000.0,-0.08709411323070526,40.35639953613281,55000,16.893701791763306,,10
