Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,Train_AverageReturn,Train_StdReturn,Train_MaxReturn,Train_MinReturn,Train_AverageEpLen,Actor Loss,Baseline Loss,Train_EnvstepsSoFar,TimeSinceStart,Initial_DataCollection_AverageReturn,step
-765.68976,16.341558,-742.8142,-779.9737,1000.0,-701.72034,59.94246,-638.50476,-815.4247,1000.0,-116.9306869506836,184.64474487304688,5000,0.5931990146636963,-701.72034,0
-818.10956,40.258533,-764.9969,-862.42566,1000.0,-769.5727,151.19913,-636.8866,-1047.2229,1000.0,-114.07563781738281,160.01951599121094,10000,1.4074480533599854,,1
-899.2044,45.551647,-849.106,-959.32556,1000.0,-833.4235,83.65423,-729.2193,-960.79816,1000.0,-87.97941589355469,83.66067504882812,15000,1.954145908355713,,2
-928.0184,46.17894,-867.0414,-978.7577,1000.0,-868.2596,42.117943,-809.87946,-921.05994,1000.0,-50.0443000793457,28.020418167114258,20000,2.5035219192504883,,3
-923.0612,12.399264,-905.8822,-934.6961,1000.0,-949.31085,37.52857,-897.3598,-1006.5593,1000.0,-35.675071716308594,30.573030471801758,25000,3.0460689067840576,,4
-918.7671,36.904716,-877.44977,-967.0409,1000.0,-897.2259,33.48548,-847.2903,-942.73926,1000.0,-42.46428298950195,162.4851837158203,30000,3.6000449657440186,,5
-884.529,74.26362,-779.948,-945.1708,1000.0,-931.5853,78.4901,-805.4826,-1018.286,1000.0,-6.295437335968018,38.9033203125,35000,4.1520280838012695,,6
-924.5874,68.334595,-859.7931,-1019.07886,1000.0,-866.48846,61.101017,-760.4994,-947.6393,1000.0,12.543004035949707,27.881235122680664,40000,4.732471942901611,,7
-834.8332,88.61359,-748.9204,-956.8009,1000.0,-823.64667,45.64126,-755.4811,-891.28503,1000.0,19.06560516357422,23.708953857421875,45000,5.280473947525024,,8
-848.96124,86.12301,-741.7262,-952.5912,1000.0,-802.4745,47.90011,-752.8107,-887.94617,1000.0,13.524796485900879,26.989547729492188,50000,5.8218700885772705,,9
-753.0568,26.413754,-720.6926,-785.3928,1000.0,-684.22766,44.124302,-641.0572,-756.2885,1000.0,20.752647399902344,41.19609832763672,55000,6.362141132354736,,10
-672.1768,77.78793,-562.86096,-737.5106,1000.0,-711.03015,75.488235,-593.12085,-789.82776,1000.0,1.1743617057800293,48.58793640136719,60000,6.940366983413696,,11
-693.9245,39.271538,-653.9781,-747.3132,1000.0,-741.0797,101.24596,-577.82263,-845.1991,1000.0,-12.542003631591797,45.538368225097656,65000,7.508754014968872,,12
-677.25256,28.627996,-639.31824,-708.4706,1000.0,-664.41425,87.54226,-583.4182,-824.36414,1000.0,-2.4957330226898193,53.25608825683594,70000,8.057596921920776,,13
-650.7724,17.1631,-631.3623,-673.09863,1000.0,-658.8717,43.251347,-604.70026,-727.7152,1000.0,4.601937294006348,31.49034309387207,75000,8.603708028793335,,14
-659.64764,45.570908,-619.7885,-723.43494,1000.0,-632.4082,123.50459,-474.72748,-846.17444,1000.0,-0.6567230820655823,45.92595291137695,80000,9.152985095977783,,15
-669.6213,24.127867,-635.6931,-689.73047,1000.0,-666.29285,46.220497,-579.4709,-718.3875,1000.0,1.0404101610183716,23.980648040771484,85000,9.704271078109741,,16
-636.0405,83.821625,-527.6998,-731.874,1000.0,-601.056,129.46494,-367.31146,-750.788,1000.0,0.8393675684928894,27.972850799560547,90000,10.249629974365234,,17
-530.1883,49.919796,-466.3235,-588.17725,1000.0,-589.4611,78.67763,-496.52637,-711.0742,1000.0,-2.349208354949951,38.88798141479492,95000,10.796097993850708,,18
-680.44336,53.850044,-617.66956,-749.17096,1000.0,-576.0858,63.280037,-466.40097,-637.0812,1000.0,5.537248611450195,36.43567657470703,100000,11.344327926635742,,19
-628.0419,26.514801,-590.93054,-651.2465,1000.0,-643.3293,33.767075,-613.90186,-694.2174,1000.0,-5.1961350440979,30.078990936279297,105000,11.919754981994629,,20
-598.78986,50.72814,-556.37524,-670.10474,1000.0,-612.2962,44.74265,-556.06354,-669.299,1000.0,-15.741387367248535,50.864986419677734,110000,12.4583740234375,,21
-606.50134,60.79681,-530.16345,-678.93066,1000.0,-615.90686,32.59166,-558.4005,-654.15546,1000.0,1.0980088710784912,26.480497360229492,115000,13.000581979751587,,22
-505.63705,20.884594,-478.88342,-529.85046,1000.0,-584.3349,75.26599,-514.8503,-678.13367,1000.0,3.0178675651550293,22.55412483215332,120000,13.542953968048096,,23
-578.90015,19.119333,-551.9326,-594.083,1000.0,-602.95544,49.95541,-525.80176,-661.182,1000.0,-3.483022689819336,25.826196670532227,125000,14.084890127182007,,24
-484.3025,64.24042,-407.34158,-564.59216,1000.0,-509.82138,44.734314,-453.45425,-555.69446,1000.0,7.571645259857178,19.967727661132812,130000,14.631239175796509,,25
-512.72797,54.723103,-436.70248,-563.2715,1000.0,-495.25943,69.77458,-410.53705,-615.3352,1000.0,5.8709235191345215,27.456262588500977,135000,15.191550970077515,,26
