Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,Train_AverageReturn,Train_StdReturn,Train_MaxReturn,Train_MinReturn,Train_AverageEpLen,Actor Loss,Baseline Loss,Train_EnvstepsSoFar,TimeSinceStart,Initial_DataCollection_AverageReturn,step
-200.41412,127.44869,6.3959885,-510.94736,88.04347826086956,-179.23482,82.406166,-29.563385,-376.0159,87.29166666666667,-44.44270324707031,10438.8994140625,2095,0.559593915939331,-179.23482,0
-181.55783,108.77034,-27.503426,-414.06647,91.45454545454545,-169.96951,90.183304,-49.785145,-430.61987,85.54166666666667,-38.956626892089844,9463.017578125,4148,1.3396308422088623,,1
-151.9929,105.01182,-50.67098,-420.07785,94.68181818181819,-140.66084,105.47943,-22.671337,-461.28778,90.8695652173913,-28.686016082763672,8517.8330078125,6238,1.867598056793213,,2
-144.86513,85.0946,-50.821415,-356.65866,87.75,-144.11061,77.588234,-33.99633,-363.11258,88.1304347826087,-28.311128616333008,6018.8642578125,8265,2.396846055984497,,3
-172.17178,100.56228,50.6653,-439.41147,92.3913043478261,-149.0854,95.052734,8.833015,-362.5336,96.71428571428571,-25.742029190063477,6147.01708984375,10296,2.918149709701538,,4
-128.93787,70.88781,-31.01802,-284.64725,88.21739130434783,-170.49303,105.51778,-24.831764,-482.69702,102.1,-28.0838623046875,8231.390625,12338,3.4353578090667725,,5
-147.66034,86.628784,-7.805519,-364.79504,98.04545454545455,-152.89685,90.24026,-5.4048386,-389.67587,94.72727272727273,-24.585472106933594,6178.9951171875,14422,3.9773550033569336,,6
-136.74983,94.56571,0.7640991,-355.74475,96.0952380952381,-166.8948,93.849686,35.00345,-340.19464,100.47619047619048,-25.402481079101562,6607.15771484375,16532,4.510002851486206,,7
-188.16637,146.97954,-62.16166,-579.7356,107.57894736842105,-134.01883,87.13826,20.30803,-384.9785,103.15,-16.03756332397461,3698.984130859375,18595,5.0505897998809814,,8
-121.809364,75.46816,28.551895,-330.62195,112.26315789473684,-179.04251,105.13866,26.735771,-362.97867,100.1,-24.98624038696289,7553.7626953125,20597,5.592564821243286,,9
-150.63568,104.212555,-5.4784775,-364.76004,107.15789473684211,-152.74939,85.03948,-49.947617,-425.09607,96.42857142857143,-20.28829002380371,5089.07275390625,22622,6.115402936935425,,10
-162.64989,99.12182,-17.972061,-344.4025,138.8,-148.81583,80.947624,-46.358192,-376.86945,108.42105263157895,-14.584049224853516,3298.531005859375,24682,6.711974859237671,,11
-178.19019,112.08759,-26.60949,-378.0794,168.33333333333334,-148.27788,75.90668,-13.462738,-273.89514,112.88888888888889,-11.742762565612793,2679.15478515625,26714,7.451725006103516,,12
-152.74179,113.37341,-39.58327,-441.61694,139.26666666666668,-164.19762,113.46954,38.077095,-355.61935,137.6,-9.609903335571289,3815.58740234375,28778,8.066155910491943,,13
-126.32655,99.37466,4.21019,-303.22696,139.26666666666668,-114.28866,76.69685,-17.142456,-306.80917,146.5,-0.8803250789642334,1408.0135498046875,30829,8.678315877914429,,14
