Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,Train_AverageReturn,Train_StdReturn,Train_MaxReturn,Train_MinReturn,Train_AverageEpLen,Actor Loss,Train_EnvstepsSoFar,TimeSinceStart,Initial_DataCollection_AverageReturn,step
31.615385,14.710218,57.0,11.0,31.615384615384617,22.244444,11.169713,51.0,10.0,22.244444444444444,-0.00564621714875102,1001,0.11200475692749023,22.244444,0
51.625,26.790565,110.0,18.0,51.625,34.266666,20.006554,98.0,12.0,34.266666666666666,-0.014901784248650074,2029,0.37043190002441406,,1
54.125,24.710512,97.0,28.0,54.125,45.565216,21.23538,87.0,11.0,45.56521739130435,-0.0010017099557444453,3077,0.47826695442199707,,2
78.666664,49.053257,156.0,33.0,78.66666666666667,54.263157,28.747252,118.0,21.0,54.26315789473684,0.0005245134816505015,4108,0.5850827693939209,,3
73.166664,44.073486,166.0,37.0,73.16666666666667,55.0,22.648342,104.0,18.0,55.0,-0.0050940788350999355,5153,0.6906650066375732,,4
69.0,22.740776,99.0,33.0,69.0,59.235294,28.585331,126.0,25.0,59.23529411764706,-0.009343822486698627,6160,0.8131139278411865,,5
80.4,30.05728,134.0,47.0,80.4,65.4375,28.705332,150.0,27.0,65.4375,-0.008578525856137276,7207,0.916583776473999,,6
103.0,71.74399,200.0,40.0,103.0,82.61539,46.57424,188.0,27.0,82.61538461538461,-0.0006536771543323994,8281,1.030639886856079,,7
106.2,43.732826,169.0,46.0,106.2,117.333336,42.851162,177.0,46.0,117.33333333333333,0.003905635792762041,9337,1.1398899555206299,,8
151.0,23.678402,180.0,122.0,151.0,94.454544,27.658184,159.0,60.0,94.45454545454545,0.005605778656899929,10376,1.2431297302246094,,9
180.66667,25.940102,200.0,144.0,180.66666666666666,106.0,40.51913,200.0,56.0,106.0,-0.014951636083424091,11436,1.3526437282562256,,10
133.33333,10.208929,146.0,121.0,133.33333333333334,143.25,34.291946,200.0,108.0,143.25,0.007793990895152092,12582,1.460170030593872,,11
138.0,14.983324,160.0,121.0,138.0,136.875,37.30428,200.0,67.0,136.875,-0.010483305901288986,13677,1.5726139545440674,,12
169.0,21.954498,200.0,152.0,169.0,163.42857,23.095188,200.0,130.0,163.42857142857142,0.0008323622168973088,14821,1.6892218589782715,,13
154.33333,35.64953,182.0,104.0,154.33333333333334,165.14285,28.357052,200.0,125.0,165.14285714285714,-0.005860898643732071,15977,1.8016948699951172,,14
163.33333,29.032549,200.0,129.0,163.33333333333334,137.375,37.629566,200.0,92.0,137.375,0.0007141259266063571,17076,1.909714937210083,,15
198.33333,2.3570228,200.0,195.0,198.33333333333334,164.71428,42.20262,200.0,96.0,164.71428571428572,-0.014466348104178905,18229,2.03151273727417,,16
175.0,35.35534,200.0,125.0,175.0,200.0,0.0,200.0,200.0,200.0,-0.0,19229,2.13975191116333,,17
200.0,0.0,200.0,200.0,200.0,195.66667,9.689628,200.0,174.0,195.66666666666666,0.004617889877408743,20403,2.2506260871887207,,18
200.0,0.0,200.0,200.0,200.0,182.33333,18.098495,200.0,153.0,182.33333333333334,-0.015027270652353764,21497,2.354656934738159,,19
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.0,22497,2.4521589279174805,,20
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.0,23497,2.5489096641540527,,21
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.0,24497,2.6480157375335693,,22
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.0,25497,2.7468979358673096,,23
200.0,0.0,200.0,200.0,200.0,192.16667,11.894209,200.0,169.0,192.16666666666666,-0.0003047704813070595,26650,2.85563588142395,,24
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.0,27650,2.951305866241455,,25
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.0,28650,3.047574996948242,,26
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.0,29650,3.1453769207000732,,27
199.0,1.4142135,200.0,197.0,199.0,200.0,0.0,200.0,200.0,200.0,-0.0,30650,3.2562220096588135,,28
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.0,31650,3.3549318313598633,,29
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.0,32650,3.4512550830841064,,30
199.33333,0.942809,200.0,198.0,199.33333333333334,200.0,0.0,200.0,200.0,200.0,-0.0,33650,3.5767009258270264,,31
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.0,34650,3.6712589263916016,,32
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.0,35650,3.7669897079467773,,33
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.0,36650,3.8634328842163086,,34
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.0,37650,3.959887742996216,,35
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.0,38650,4.056220769882202,,36
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.0,39650,4.152153730392456,,37
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.0,40650,4.2500269412994385,,38
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.0,41650,4.349063873291016,,39
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.0,42650,4.448319911956787,,40
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.0,43650,4.548793792724609,,41
200.0,0.0,200.0,200.0,200.0,199.33333,1.490712,200.0,196.0,199.33333333333334,-0.00623489823192358,44846,4.660165786743164,,42
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.0,45846,4.756556034088135,,43
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.0,46846,4.852344036102295,,44
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.0,47846,4.947870969772339,,45
198.66667,1.8856181,200.0,196.0,198.66666666666666,197.5,5.59017,200.0,185.0,197.5,-0.0010877697495743632,49031,5.0692291259765625,,46
191.33333,10.873005,200.0,176.0,191.33333333333334,196.5,7.826238,200.0,179.0,196.5,-0.017352649942040443,50210,5.18855881690979,,47
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.0,51210,5.286983966827393,,48
197.66667,2.0548048,200.0,195.0,197.66666666666666,200.0,0.0,200.0,200.0,200.0,-0.0,52210,5.397527694702148,,49
188.0,16.970562,200.0,164.0,188.0,185.5,16.489895,200.0,151.0,185.5,-0.012631947174668312,53323,5.513434886932373,,50
200.0,0.0,200.0,200.0,200.0,177.16667,17.553885,200.0,154.0,177.16666666666666,-0.0055071162059903145,54386,5.6146087646484375,,51
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.0,55386,5.710908889770508,,52
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.0,56386,5.8081347942352295,,53
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.0,57386,5.90366005897522,,54
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.0,58386,5.999738931655884,,55
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.0,59386,6.0946948528289795,,56
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.0,60386,6.191529989242554,,57
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.0,61386,6.333281993865967,,58
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.0,62386,6.431545734405518,,59
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.0,63386,6.529741048812866,,60
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.0,64386,6.62765908241272,,61
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.0,65386,6.724593877792358,,62
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.0,66386,6.819512128829956,,63
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.0,67386,6.915170669555664,,64
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.0,68386,7.011672735214233,,65
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.0,69386,7.106935024261475,,66
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.0,70386,7.20324182510376,,67
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.0,71386,7.298403739929199,,68
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.0,72386,7.393732786178589,,69
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.0,73386,7.504814863204956,,70
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.0,74386,7.60003399848938,,71
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.0,75386,7.6949687004089355,,72
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.0,76386,7.7895848751068115,,73
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.0,77386,7.885590076446533,,74
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.0,78386,7.981801986694336,,75
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.0,79386,8.07938003540039,,76
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.0,80386,8.178276777267456,,77
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.0,81386,8.275707960128784,,78
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.0,82386,8.373257875442505,,79
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.0,83386,8.469201803207397,,80
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.0,84386,8.564185857772827,,81
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.0,85386,8.66034483909607,,82
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.0,86386,8.7562837600708,,83
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.0,87386,8.851867914199829,,84
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.0,88386,8.9491548538208,,85
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.0,89386,9.046276807785034,,86
173.33333,37.71236,200.0,120.0,173.33333333333334,200.0,0.0,200.0,200.0,200.0,-0.0,90386,9.150229930877686,,87
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.0,91386,9.245814085006714,,88
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.0,92386,9.342073917388916,,89
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.0,93386,9.43882703781128,,90
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.0,94386,9.53334093093872,,91
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.0,95386,9.629544973373413,,92
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.0,96386,9.725754737854004,,93
200.0,0.0,200.0,200.0,200.0,191.16667,19.751934,200.0,147.0,191.16666666666666,-0.012759595178067684,97533,9.831825971603394,,94
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.0,98533,9.928754806518555,,95
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.0,99533,10.027099847793579,,96
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.0,100533,10.125175952911377,,97
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.0,101533,10.224007844924927,,98
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.0,102533,10.322929859161377,,99
