Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,Train_AverageReturn,Train_StdReturn,Train_MaxReturn,Train_MinReturn,Train_AverageEpLen,Actor Loss,Train_EnvstepsSoFar,TimeSinceStart,Initial_DataCollection_AverageReturn,step
-806.4033,18.11687,-787.19165,-830.6896,1000.0,-699.9162,54.789192,-618.3288,-775.8773,1000.0,-117.78877258300781,5000,0.6046609878540039,-699.9162,0
-814.8748,54.23096,-754.12317,-885.7898,1000.0,-788.116,37.196587,-734.61633,-831.11945,1000.0,-132.0728759765625,10000,1.5957708358764648,,1
-989.18695,128.89645,-843.02075,-1156.5994,1000.0,-939.7423,131.27805,-727.8067,-1138.755,1000.0,-155.89877319335938,15000,2.1495509147644043,,2
-947.44214,30.893368,-906.2715,-980.68976,1000.0,-905.20654,26.711283,-878.4751,-946.86334,1000.0,-149.43060302734375,20000,2.689049005508423,,3
-1192.5828,119.65613,-1099.9626,-1361.5408,1000.0,-1195.7081,131.45647,-996.56085,-1344.9263,1000.0,-195.97994995117188,25000,3.2154459953308105,,4
-1122.4176,109.08103,-1028.8678,-1275.4202,1000.0,-1149.6892,155.74106,-889.1566,-1360.9441,1000.0,-189.45199584960938,30000,3.749099016189575,,5
-1168.7882,138.35632,-1001.14856,-1339.9946,1000.0,-1140.4695,94.72179,-1009.83594,-1304.7942,1000.0,-186.60134887695312,35000,4.2909629344940186,,6
-1426.3403,62.141987,-1338.643,-1475.1206,1000.0,-1241.7815,42.38327,-1157.3265,-1269.3801,1000.0,-202.41299438476562,40000,4.861164093017578,,7
-1433.6263,102.73636,-1289.0227,-1518.1555,1000.0,-1316.2689,90.982735,-1234.0195,-1491.981,1000.0,-215.24440002441406,45000,5.42258882522583,,8
-1430.1508,53.659153,-1356.5284,-1482.8923,1000.0,-1340.871,48.466255,-1291.197,-1430.1569,1000.0,-218.114501953125,50000,5.960556983947754,,9
-1323.9565,63.17469,-1253.9115,-1407.0085,1000.0,-1318.5798,59.612644,-1268.9089,-1431.1959,1000.0,-214.5779571533203,55000,6.493980884552002,,10
-1289.4283,125.01154,-1163.9304,-1460.0176,1000.0,-1371.1637,100.532135,-1233.0237,-1475.263,1000.0,-222.564697265625,60000,7.02752685546875,,11
-1066.8003,91.7192,-947.2593,-1170.1721,1000.0,-1249.2037,133.21902,-1120.7942,-1491.0842,1000.0,-201.10597229003906,65000,7.567612886428833,,12
-1031.4712,78.58426,-921.6068,-1100.915,1000.0,-1177.0955,105.113396,-1082.7302,-1376.8525,1000.0,-187.88890075683594,70000,8.10582709312439,,13
-1004.69464,61.356026,-924.0838,-1072.8076,1000.0,-1037.3157,53.216755,-965.7998,-1106.8905,1000.0,-166.15982055664062,75000,8.645871877670288,,14
-866.43475,37.198765,-820.6105,-911.72375,1000.0,-988.33496,27.623196,-952.34235,-1035.8477,1000.0,-157.4141845703125,80000,9.179593086242676,,15
-863.1877,117.48031,-709.48535,-994.666,1000.0,-936.18164,59.08739,-846.41095,-1026.2822,1000.0,-149.52244567871094,85000,9.711106061935425,,16
-704.34454,60.53109,-635.5792,-782.88055,1000.0,-794.6274,76.02774,-709.7395,-927.3158,1000.0,-126.3573226928711,90000,10.244135856628418,,17
-789.20734,49.050095,-743.9813,-857.3706,1000.0,-862.9079,63.913395,-760.25616,-942.22943,1000.0,-136.6166229248047,95000,10.776057958602905,,18
-764.3117,31.617237,-728.4358,-805.36163,1000.0,-872.6046,52.57953,-774.79614,-923.31256,1000.0,-138.2354278564453,100000,11.312988996505737,,19
-785.4189,26.836857,-748.5265,-811.5813,1000.0,-766.32043,72.07829,-641.05786,-856.47107,1000.0,-120.25091552734375,105000,11.84420108795166,,20
-727.3597,51.207413,-672.1321,-795.54114,1000.0,-790.7983,106.682014,-612.64825,-929.2905,1000.0,-124.84912872314453,110000,12.378653049468994,,21
-763.81903,109.77718,-682.55054,-919.0094,1000.0,-807.70575,88.344345,-669.3067,-917.3866,1000.0,-127.6884536743164,115000,12.917630910873413,,22
-693.06476,47.01318,-645.60596,-757.11914,1000.0,-785.0646,62.999695,-679.2811,-861.95935,1000.0,-122.10087585449219,120000,13.455656051635742,,23
